Volcano Name,Country,Volcanic Region,Volcanic Province,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Tectonic Setting,Dominant Rock Type
West Eifel Volcanic Field,Germany,European Volcanic Regions,Central European Province,Cluster,Volcanic field,Eruption Dated,8300 BCE,50.17,6.85,600,Rift zone / Continental crust (>25 km),Foidite
Chaine des Puys,France,European Volcanic Regions,Western European Province,Cluster,Lava dome(s),Eruption Dated,4040 BCE,45.786,2.981,1464,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
Olot Volcanic Field,Spain,European Volcanic Regions,Western European Province,Cluster,Volcanic field,Evidence Credible,Unknown,42.17,2.53,893,Intraplate / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Calatrava Volcanic Field,Spain,European Volcanic Regions,Western European Province,Cluster,Volcanic field,Eruption Dated,3600 BCE,38.87,-4.02,1117,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
Colli Albani,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Caldera,Caldera,Evidence Uncertain,Unknown,41.7569,12.7251,949,Subduction zone / Continental crust (>25 km),Foidite
Campi Flegrei,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Caldera,Caldera,Eruption Observed,1538 CE,40.827,14.139,458,Subduction zone / Continental crust (>25 km),Trachyte / Trachydacite
Vesuvius,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Composite,Stratovolcano,Eruption Observed,1944 CE,40.821,14.426,1281,Subduction zone / Continental crust (>25 km),Phono-tephrite /  Tephri-phonolite
Ischia,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Composite,Complex,Eruption Observed,1302 CE,40.73,13.897,789,Subduction zone / Continental crust (>25 km),Trachyte / Trachydacite
Palinuro,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Compound,Eruption Dated,8040 BCE,39.48,14.83,-70,Subduction zone / Continental crust (>25 km),Phonolite
Stromboli,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2024 CE,38.789,15.213,924,Subduction zone / Continental crust (>25 km),Trachyandesite / Basaltic Trachyandesite
Panarea,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Stratovolcano,Evidence Uncertain,Unknown,38.638,15.064,399,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Lipari,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Stratovolcano(es),Eruption Dated,1230 CE,38.49,14.933,590,Subduction zone / Continental crust (>25 km),Rhyolite
Vulcano,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1890 CE,38.404,14.962,500,Subduction zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Etna,Italy,European Volcanic Regions,Sicily Volcanic Province,Composite,Stratovolcano(es),Eruption Observed,2024 CE,37.748,14.999,3357,Subduction zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Campi Flegrei del Mar di Sicilia,Italy,European Volcanic Regions,Sicily Volcanic Province,Cluster,Volcanic field,Eruption Observed,1867 CE,37.1,12.7,-8,Rift zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Pantelleria,Italy,European Volcanic Regions,Sicily Volcanic Province,Shield,Shield,Eruption Observed,1891 CE,36.77,12.02,836,Rift zone / Continental crust (>25 km),Rhyolite
Marsili,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Complex,Eruption Dated,1050 BCE,39.284,14.399,-779,,
Methana,Greece,European Volcanic Regions,Hellenic Volcanic Arc,Minor (Basaltic),Lava dome(s),Eruption Observed,258 BCE,37.6186,23.3331,380,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Milos,Greece,European Volcanic Regions,Hellenic Volcanic Arc,Composite,Stratovolcano(es),Eruption Dated,140 CE,36.699,24.439,751,Subduction zone / Continental crust (>25 km),Rhyolite
Santorini,Greece,European Volcanic Regions,Hellenic Volcanic Arc,Shield,Shield(s),Eruption Observed,1950 CE,36.404,25.396,367,Subduction zone / Continental crust (>25 km),Dacite
Nisyros,Greece,European Volcanic Regions,Hellenic Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1888 CE,36.5888,27.1553,698,Subduction zone / Continental crust (>25 km),Dacite
Kula,Turkiye,European Volcanic Regions,Western Anatolian Volcanic Province,Cluster,Volcanic field,Evidence Credible,Unknown,38.58,28.52,750,Intraplate / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
Hasandag-Keciboyduran Volcanic Complex,Turkiye,European Volcanic Regions,Western Anatolian Volcanic Province,Cluster,Stratovolcano,Evidence Credible,Unknown,38.13,34.17,3253,Intraplate / Continental crust (>25 km),Dacite
Erciyes Volcanic Complex,Turkiye,European Volcanic Regions,Western Anatolian Volcanic Province,Composite,Stratovolcano,Eruption Dated,6880 BCE,38.531,35.447,3864,Intraplate / Continental crust (>25 km),Dacite
Karaca Dag,Turkiye,Arabia-Central Asia Volcanic Regions,Northern Arabia Volcanic Province,Shield,Shield,Evidence Credible,Unknown,37.67,39.83,1957,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
Nemrut Dagi,Turkiye,Arabia-Central Asia Volcanic Regions,Central Anatolian Volcanic Province,Composite,Stratovolcano,Eruption Observed,1650 CE,38.654,42.229,2948,Intraplate / Continental crust (>25 km),Rhyolite
Tenduruk Dagi,Turkiye,Arabia-Central Asia Volcanic Regions,Central Anatolian Volcanic Province,Shield,Shield,Eruption Observed,1855 CE,39.356,43.874,3514,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
Ararat,Turkiye,Arabia-Central Asia Volcanic Regions,Central Anatolian Volcanic Province,Composite,Stratovolcano,Eruption Observed,1840 CE,39.7,44.3,5165,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
Elbrus,Russia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Composite,Stratovolcano,Eruption Dated,50 CE,43.351,42.442,5642,Intraplate / Continental crust (>25 km),Dacite
Kazbek,Georgia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Composite,Stratovolcano,Eruption Dated,750 BCE,42.7,44.5,5050,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
Samsari Volcanic Center,Georgia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Volcanic field,Evidence Uncertain,Unknown,41.542,43.7,3290,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
Aragats,Armenia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Composite,Stratovolcano,Evidence Credible,Unknown,40.53,44.2,4095,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
Ghegham Volcanic Ridge,Armenia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Volcanic field,Eruption Dated,1900 BCE,40.283,45,3597,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
Vaiyots-Sar,Armenia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Minor (Basaltic),Pyroclastic cone(s),Eruption Dated,2000 BCE,39.797,45.497,2575,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
Porak,Armenia-Azerbaijan,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Volcanic field,Eruption Dated,778 BCE,40.028,45.74,3029,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
Tskhouk-Karckar,Armenia-Azerbaijan,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Pyroclastic cone(s),Eruption Dated,3000 BCE,39.742,45.992,3139,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite
"Tair, Jebel at",Yemen,East African Volcanic Regions,Red Sea Rift Zone,Composite,Stratovolcano,Eruption Observed,2008 CE,15.55,41.83,244,Rift zone / Oceanic crust (< 15 km),Trachybasalt / Tephrite Basanite
Zubair Group,Yemen,East African Volcanic Regions,Red Sea Rift Zone,Shield,Shield,Eruption Observed,2013 CE,15.05,42.18,191,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt
Zukur,Yemen,East African Volcanic Regions,Red Sea Rift Zone,Shield,Shield,Evidence Credible,Unknown,14.02,42.75,624,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt
Hanish,Yemen,East African Volcanic Regions,Red Sea Rift Zone,Shield,Shield,Evidence Credible,Unknown,13.72,42.73,422,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt
Alid,Eritrea,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,14.88,39.92,904,Rift zone / Intermediate crust (15-25 km),Rhyolite
Dallol,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Minor (Basaltic),Explosion crater(s),Eruption Observed,2011 CE,14.242,40.3,-48,Rift zone / Intermediate crust (15-25 km),No Data (checked)
Gada Ale,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,13.975,40.408,287,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Alu-Dalafilla,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Cluster,Fissure vent(s),Eruption Observed,2008 CE,13.793,40.553,578,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Bora Ale,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,13.725,40.6,668,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Erta Ale,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Eruption Observed,2024 CE,13.601,40.666,585,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Ale Bagu,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,13.512,40.631,988,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Hayli Gubbi,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Evidence Credible,Unknown,13.51,40.722,493,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Dubbi,Eritrea,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Eruption Observed,1861 CE,13.579,41.809,1625,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Nabro,Eritrea,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Eruption Observed,2012 CE,13.37,41.7,2218,Rift zone / Intermediate crust (15-25 km),Trachyte / Trachydacite
Mallahle,Ethiopia-Eritrea,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Uncertain,Unknown,13.27,41.65,1875,Rift zone / Intermediate crust (15-25 km),Trachyte / Trachydacite
Sork Ale,Ethiopia-Eritrea,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Uncertain,Unknown,13.18,41.725,1611,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Asavyo,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Evidence Credible,Unknown,13.098,41.599,1338,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Mat Ala,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Evidence Credible,Unknown,13.106,41.161,493,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Tat Ali,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Evidence Credible,Unknown,13.284,41.063,655,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Borawli,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,13.304,40.987,784,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Afdera,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Uncertain,Unknown,13.088,40.853,1250,Rift zone / Intermediate crust (15-25 km),Rhyolite
Ma Alalta,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,13.013,40.185,1745,Rift zone / Intermediate crust (15-25 km),Rhyolite
Alayta,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Eruption Observed,1915 CE,12.888,40.573,1496,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Dabbahu,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Eruption Observed,2005 CE,12.595,40.48,1401,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Dabbayra,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Evidence Credible,Unknown,12.38,40.07,1302,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Manda Hararo,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield(s),Eruption Observed,2009 CE,12.17,40.82,600,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Groppo,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,11.816,40.242,852,Rift zone / Intermediate crust (15-25 km),
Kurub,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Shield,Shield,Evidence Credible,Unknown,11.88,41.208,625,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Manda-Inakir,Ethiopia-Djibouti,East African Volcanic Regions,Afar Rift Zone,Cluster,Fissure vent(s),Eruption Observed,1928 CE,12.38,42.2,600,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Mousa Alli,Ethiopia-Eritrea-Djibouti,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,12.469,42.404,1993,Rift zone / Intermediate crust (15-25 km),Rhyolite
Gufa,Eritrea-Djibouti,East African Volcanic Regions,Afar Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,12.55,42.53,600,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Assab Volcanic Field,Eritrea,East African Volcanic Regions,Afar Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,12.95,42.43,987,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Ardoukoba,Djibouti,East African Volcanic Regions,Afar Rift Zone,Cluster,Fissure vent(s),Eruption Observed,1978 CE,11.58,42.47,298,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Manda Gargori,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Cluster,Fissure vent(s),Evidence Credible,Unknown,11.75,41.48,700,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Dama Ali,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Shield,Shield,Eruption Observed,1631 CE,11.28,41.63,1068,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Gabillema,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,11.08,41.27,1459,Rift zone / Intermediate crust (15-25 km),Rhyolite
Yangudi,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Complex,Evidence Credible,Unknown,10.58,41.042,1383,Rift zone / Intermediate crust (15-25 km),Rhyolite
Ayelu,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,10.082,40.702,2145,Rift zone / Intermediate crust (15-25 km),Rhyolite
Adwa,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano,Evidence Credible,Unknown,10.063,40.831,1670,Rift zone / Intermediate crust (15-25 km),Rhyolite
Hertali,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Fissure vent,Evidence Credible,Unknown,9.78,40.33,900,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Liado Hayk,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Volcanic field,Evidence Uncertain,Unknown,9.57,40.28,878,Rift zone / Continental crust (>25 km),No Data (checked)
Dofan,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Shield,Shield,Evidence Credible,Unknown,9.35,40.13,1151,Rift zone / Continental crust (>25 km),Rhyolite
Fentale,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano,Eruption Observed,1820 CE,8.985,39.906,2007,Rift zone / Continental crust (>25 km),Rhyolite
Beru,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,8.95,39.75,1100,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
Kone,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Caldera,Caldera(s),Eruption Observed,1820 CE,8.8105,39.6946,1380,Rift zone / Continental crust (>25 km),Rhyolite
Boset,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano(es),Evidence Credible,Unknown,8.558,39.475,2447,Rift zone / Continental crust (>25 km),Rhyolite
Bishoftu Volcanic Field,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,8.78,38.98,1850,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
Melkassa,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Volcanic field,Evidence Credible,Unknown,8.43,39.35,1765,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
Gedemsa,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Caldera,Caldera,Evidence Credible,Unknown,8.363,39.172,1909,Rift zone / Continental crust (>25 km),Rhyolite
